"pangos","Freq","Hash","Lineage"
"B.1.1",0.027027027027027,"5b602cb94e","NA.5b602cb94e.X"
"B.1.1.459",0.0135135135135135,"5b602cb94e","NA.5b602cb94e.X"
"B.1.416",0.0135135135135135,"5b602cb94e","NA.5b602cb94e.X"
"P.2",0.621621621621622,"5b602cb94e","NA.5b602cb94e.X"
"R.1",0.297297297297297,"5b602cb94e","NA.5b602cb94e.X"
"B",1,"a6f3a0c942","B"
"B.1.1.28",1,"323bc85958","B.1.1.28"
"B.1.36",1,"a83d4ca582","B.1.36"
"B.1.1.214",0.0416666666666667,"c8a437008c","B.1.X"
"B.1.1.70",0.125,"c8a437008c","B.1.X"
"B.1.2",0.375,"c8a437008c","B.1.X"
"B.1.234",0.0416666666666667,"c8a437008c","B.1.X"
"B.1.241",0.0416666666666667,"c8a437008c","B.1.X"
"B.1.36",0.25,"c8a437008c","B.1.X"
"B.1.36.16",0.0416666666666667,"c8a437008c","B.1.X"
"B.1.36.8",0.0833333333333333,"c8a437008c","B.1.X"
"C.33",1,"c55c79df6d","C.33"
"B.1.1",0.5,"841d3ac82c","B.1.1.X"
"B.1.1.203",0.5,"841d3ac82c","B.1.1.X"
"B.1.1",1,"f8d4e82451","B.1.1"
"C.36",1,"a6e5cdae69","C.36"
"C.36",1,"1aab94fff3","C.36"
"A.28",1,"6e0c2f6fd3","A.28"
"C.36",1,"4ba14982e4","C.36"
"B.1",1,"76467039c4","B.1"
"AY.45",0.25,"46a609b816","NA.46a609b816.X"
"AY.91",0.125,"46a609b816","NA.46a609b816.X"
"B.1.1.25",0.5,"46a609b816","NA.46a609b816.X"
"B.1.36.8",0.125,"46a609b816","NA.46a609b816.X"
"C.36",0.5,"d9d2a817ae","C.36.X"
"C.36.3",0.5,"d9d2a817ae","C.36.X"
"B.1",1,"dd6d041080","B.1"
"B.1.177",1,"6dafe81df1","B.1.177"
"B.1.1.135",1,"ea73148436","B.1.1.135"
"R.1",1,"5890b2e62e","R.1"
"B.1.525",0.966666666666667,"22e1eeb199","NA.22e1eeb199.X"
"R.1",0.0333333333333333,"22e1eeb199","NA.22e1eeb199.X"
"B.1.351",0.794117647058823,"fca6a64f91","B.1.351.X"
"B.1.351.3",0.117647058823529,"fca6a64f91","B.1.351.X"
"B.1.351.5",0.0882352941176471,"fca6a64f91","B.1.351.X"
"B.1.1.7",0.981859410430839,"cfa3dc55ab","NA.cfa3dc55ab.X"
"Q.3",0.00680272108843537,"cfa3dc55ab","NA.cfa3dc55ab.X"
"Q.7",0.0113378684807256,"cfa3dc55ab","NA.cfa3dc55ab.X"
"B.1",0.0555555555555556,"5f2cd24608","B.1.X"
"B.1.1",0.25,"5f2cd24608","B.1.X"
"B.1.1.163",0.0277777777777778,"5f2cd24608","B.1.X"
"B.1.1.207",0.111111111111111,"5f2cd24608","B.1.X"
"B.1.1.306",0.25,"5f2cd24608","B.1.X"
"B.1.2",0.0833333333333333,"5f2cd24608","B.1.X"
"B.1.243",0.166666666666667,"5f2cd24608","B.1.X"
"B.1.400",0.0277777777777778,"5f2cd24608","B.1.X"
"B.1.469",0.0277777777777778,"5f2cd24608","B.1.X"
"A.2.5.2",0.0714285714285714,"7d21bb2976","NA.7d21bb2976.X"
"B.1.1.174",0.0178571428571429,"7d21bb2976","NA.7d21bb2976.X"
"B.1.1.487",0.0357142857142857,"7d21bb2976","NA.7d21bb2976.X"
"B.1.232",0.0178571428571429,"7d21bb2976","NA.7d21bb2976.X"
"B.1.36",0.0178571428571429,"7d21bb2976","NA.7d21bb2976.X"
"B.1.427",0.196428571428571,"7d21bb2976","NA.7d21bb2976.X"
"B.1.429",0.178571428571429,"7d21bb2976","NA.7d21bb2976.X"
"B.1.637",0.375,"7d21bb2976","NA.7d21bb2976.X"
"L.3",0.0892857142857143,"7d21bb2976","NA.7d21bb2976.X"
"B.1.1.50",1,"6dda61fb3c","B.1.1.50"
"B.1.499",1,"cc0fb933fa","B.1.499"
"B.1.1.306",1,"2945b64d19","B.1.1.306"
"B.1.36",1,"d1314e04f0","B.1.36"
"A.27",1,"868b6972a5","A.27"
"B.1.1.316",1,"c16c8c399e","B.1.1.316"
"B.1.1.207",1,"36da57f944","B.1.1.207"
"B.1.240",1,"7e0dcdcc55","B.1.240"
"B.1.243",1,"d74ba7bec3","B.1.243"
"B.1.2",1,"b9fbb633c5","B.1.2"
"B.1",0.5,"04e66e4406","B.1.X"
"B.1.2",0.5,"04e66e4406","B.1.X"
"A",1,"e8473ef2d3","A"
"C.36",1,"7b65cb711a","C.36"
"B.1.2",1,"373c175bf7","B.1.2"
"B.1",0.25,"1e2f9db3ca","B.1.X"
"B.1.1.317",0.25,"1e2f9db3ca","B.1.X"
"B.1.1.382",0.25,"1e2f9db3ca","B.1.X"
"B.1.234",0.25,"1e2f9db3ca","B.1.X"
"B.1.1.50",1,"510ad680de","B.1.1.50"
"B.1.1.519",1,"042de14ec9","B.1.1.519"
"B.1.1.7",1,"2eba3a6e19","B.1.1.7"
"C.16",0.5,"9837f9bc82","C.X"
"C.36",0.25,"9837f9bc82","C.X"
"C.36.3",0.25,"9837f9bc82","C.X"
"B.1.160",1,"e65fbe1704","B.1.160"
"B.1.177",1,"3c6baf4e68","B.1.177"
"B.1.1",0.666666666666667,"c41d2e4a24","B.1.X"
"B.1.517",0.333333333333333,"c41d2e4a24","B.1.X"
"B.1.1.7",1,"3f493a2253","B.1.1.7"
"B.1.1",1,"8778080dca","B.1.1"
"C.37",1,"8e0553c5a3","C.37"
"C.37",1,"6b0fa12d12","C.37"
"B.1",0.25,"3643bceccd","B.1.X"
"B.1.2",0.25,"3643bceccd","B.1.X"
"B.1.480",0.5,"3643bceccd","B.1.X"
"B.1.575",1,"b96b7beb9f","B.1.575"
"B.1.1",1,"e147aeb89c","B.1.1"
"AY.100",0.0234423195558297,"4c4d130660","NA.4c4d130660.X"
"AY.101",0.0456508328192474,"4c4d130660","NA.4c4d130660.X"
"AY.102",0.00308451573103023,"4c4d130660","NA.4c4d130660.X"
"AY.103",0.0185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.106",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.107",0.00431832202344232,"4c4d130660","NA.4c4d130660.X"
"AY.108",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.109",0.00308451573103023,"4c4d130660","NA.4c4d130660.X"
"AY.111",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.112",0.00308451573103023,"4c4d130660","NA.4c4d130660.X"
"AY.113",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.116",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.116.1",0.012954966070327,"4c4d130660","NA.4c4d130660.X"
"AY.117",0.00555212831585441,"4c4d130660","NA.4c4d130660.X"
"AY.118",0.00246761258482418,"4c4d130660","NA.4c4d130660.X"
"AY.119",0.00555212831585441,"4c4d130660","NA.4c4d130660.X"
"AY.120",0.00493522516964837,"4c4d130660","NA.4c4d130660.X"
"AY.122",0.0419494139420111,"4c4d130660","NA.4c4d130660.X"
"AY.124",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.125",0.00740283775447255,"4c4d130660","NA.4c4d130660.X"
"AY.126",0.0259099321406539,"4c4d130660","NA.4c4d130660.X"
"AY.127",0.0154225786551511,"4c4d130660","NA.4c4d130660.X"
"AY.127.1",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.129",0.00863664404688464,"4c4d130660","NA.4c4d130660.X"
"AY.13",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.134",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.14",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.16",0.00308451573103023,"4c4d130660","NA.4c4d130660.X"
"AY.16.1",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.20",0.0067859346082665,"4c4d130660","NA.4c4d130660.X"
"AY.20.1",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.23",0.00431832202344232,"4c4d130660","NA.4c4d130660.X"
"AY.24",0.00863664404688464,"4c4d130660","NA.4c4d130660.X"
"AY.25",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.25.1",0.0104873534855028,"4c4d130660","NA.4c4d130660.X"
"AY.25.1.1",0.00308451573103023,"4c4d130660","NA.4c4d130660.X"
"AY.26",0.0172732880937693,"4c4d130660","NA.4c4d130660.X"
"AY.27",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.29",0.00740283775447255,"4c4d130660","NA.4c4d130660.X"
"AY.3",0.00246761258482418,"4c4d130660","NA.4c4d130660.X"
"AY.30",0.00863664404688464,"4c4d130660","NA.4c4d130660.X"
"AY.33",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.36",0.0351634793337446,"4c4d130660","NA.4c4d130660.X"
"AY.38",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.39",0.00555212831585441,"4c4d130660","NA.4c4d130660.X"
"AY.39.1.1",0.0573719925971622,"4c4d130660","NA.4c4d130660.X"
"AY.4",0.0444170265268353,"4c4d130660","NA.4c4d130660.X"
"AY.4.2",0.00863664404688464,"4c4d130660","NA.4c4d130660.X"
"AY.4.2.1",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.4.2.2",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.4.2.3",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.4.3",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.4.5",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.4.6",0.00801974090067859,"4c4d130660","NA.4c4d130660.X"
"AY.4.7",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.4.8",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.42",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.43",0.0635410240592227,"4c4d130660","NA.4c4d130660.X"
"AY.43.1",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.43.2",0.00801974090067859,"4c4d130660","NA.4c4d130660.X"
"AY.43.3",0.00740283775447255,"4c4d130660","NA.4c4d130660.X"
"AY.43.4",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.43.6",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.43.7",0.00246761258482418,"4c4d130660","NA.4c4d130660.X"
"AY.44",0.02652683528686,"4c4d130660","NA.4c4d130660.X"
"AY.45",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.46",0.00925354719309068,"4c4d130660","NA.4c4d130660.X"
"AY.46.2",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.46.3",0.0357803824799506,"4c4d130660","NA.4c4d130660.X"
